epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.4451,2.09869,0.19444,0.63889,2.0423,8.33e-05,8.33e-05,8.33e-05
2,36.459,1.935,0.33333,0.84722,1.89961,0.0001706,0.0001706,0.0001706
3,56.1312,1.72858,0.45833,0.90278,1.58938,0.000253365,0.000253365,0.000253365
4,83.5224,1.45994,0.66667,0.93056,1.13802,0.000331594,0.000331594,0.000331594
5,102.362,1.22048,0.69444,0.94444,1.20519,0.000405288,0.000405288,0.000405288
6,115.69,0.99427,0.70833,0.98611,0.9412,0.000474446,0.000474446,0.000474446
7,128.814,0.82119,0.75,1,0.71302,0.000539068,0.000539068,0.000539068
8,141.17,0.62308,0.77778,1,0.68331,0.000599154,0.000599154,0.000599154
9,153.38,0.55428,0.75,1,0.79417,0.000654705,0.000654705,0.000654705
10,165.948,0.42623,0.72222,1,1.39592,0.000647449,0.000647449,0.000647449
11,178.347,0.35621,0.79167,1,0.71867,0.000626832,0.000626832,0.000626832
12,192.63,0.30992,0.80556,1,0.92318,0.000606216,0.000606216,0.000606216
13,205.497,0.26426,0.80556,1,0.69747,0.000585599,0.000585599,0.000585599
14,217.796,0.30522,0.83333,1,0.70394,0.000564982,0.000564982,0.000564982
15,230.065,0.21197,0.80556,1,0.41071,0.000544365,0.000544365,0.000544365
16,242.712,0.17809,0.86111,1,0.52264,0.000523749,0.000523749,0.000523749
17,254.829,0.14476,0.84722,1,0.35822,0.000503132,0.000503132,0.000503132
18,267.433,0.18377,0.86111,0.98611,0.77734,0.000482515,0.000482515,0.000482515
19,279.63,0.16813,0.81944,0.97222,0.82344,0.000461898,0.000461898,0.000461898
20,292.086,0.1891,0.80556,1,0.48597,0.000441282,0.000441282,0.000441282
21,304.021,0.15218,0.80556,0.98611,0.49376,0.000420665,0.000420665,0.000420665
22,316.213,0.24943,0.79167,0.97222,0.44978,0.000400048,0.000400048,0.000400048
23,328.348,0.14613,0.79167,0.97222,0.70931,0.000379431,0.000379431,0.000379431
24,342.203,0.16009,0.80556,0.97222,0.71911,0.000358815,0.000358815,0.000358815
25,355.233,0.11435,0.81944,0.98611,0.37247,0.000338198,0.000338198,0.000338198
26,370.648,0.13706,0.80556,0.97222,0.46229,0.000317581,0.000317581,0.000317581
27,399.178,0.13469,0.80556,0.98611,0.62363,0.000296964,0.000296964,0.000296964
28,419.212,0.13056,0.80556,0.97222,0.55491,0.000276348,0.000276348,0.000276348
29,438.931,0.16102,0.81944,0.97222,0.62623,0.000255731,0.000255731,0.000255731
30,457.309,0.12975,0.81944,0.98611,0.44532,0.000235114,0.000235114,0.000235114
31,476.044,0.10452,0.80556,0.98611,0.90785,0.000214497,0.000214497,0.000214497
32,494.347,0.08971,0.80556,0.98611,0.42707,0.000193881,0.000193881,0.000193881
33,512.882,0.09304,0.80556,0.98611,0.54491,0.000173264,0.000173264,0.000173264
34,530.667,0.09711,0.80556,0.98611,0.83014,0.000152647,0.000152647,0.000152647
35,548.478,0.07465,0.80556,0.98611,0.57142,0.000132031,0.000132031,0.000132031
36,566.746,0.11811,0.81944,0.98611,0.59271,0.000111414,0.000111414,0.000111414
37,585.614,0.07789,0.81944,0.97222,0.59877,9.0797e-05,9.0797e-05,9.0797e-05
38,612.826,0.10021,0.81944,0.98611,1.14544,7.01802e-05,7.01802e-05,7.01802e-05
39,638.995,0.11993,0.81944,0.97222,0.40512,4.95635e-05,4.95635e-05,4.95635e-05
40,657.811,0.07372,0.81944,0.98611,0.89689,2.89468e-05,2.89468e-05,2.89468e-05
